Experiment	bias spectroscopy	
Date	21.11.2022 12:31:28	
User		
X (m)	521.149E-9	
Y (m)	-513.365E-9	
Z (m)	-106.678E-9	
Z offset (m)	0E+0	
Settling time (s)	4E-3	
Integration time (s)	8E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	-106.684E-9	
Filter type	None	
Order		
Cutoff frq		
Comment01	SiC	

[DATA]
Bias calc (V)	Current (A)	LIX 1 omega (A)	LIY 1 omega (A)
-1.16735E+0	-59.4404E-12	-16.6245E-12	5.99803E-12
-1.16461E+0	-55.7554E-12	-16.4559E-12	6.68097E-12
-1.16188E+0	-48.2052E-12	-15.9983E-12	5.25149E-12
-1.15914E+0	-33.4120E-12	-16.0226E-12	4.53900E-12
-1.15640E+0	-29.5662E-12	-16.4888E-12	3.50375E-12
-1.15367E+0	-30.3926E-12	-16.5267E-12	3.68453E-12
-1.15093E+0	-43.0874E-12	-16.5679E-12	5.53048E-12
-1.14819E+0	-49.4030E-12	-16.0556E-12	6.94394E-12
-1.14545E+0	-56.0278E-12	-16.7345E-12	7.57570E-12
-1.14272E+0	-46.1315E-12	-16.2890E-12	6.62010E-12
-1.13998E+0	-27.8202E-12	-15.8711E-12	4.61547E-12
-1.13724E+0	-20.7981E-12	-16.5566E-12	3.08254E-12
-1.13451E+0	-22.5306E-12	-16.5356E-12	3.58733E-12
-1.13177E+0	-41.0025E-12	-17.0676E-12	5.38887E-12
-1.12903E+0	-49.7934E-12	-16.1973E-12	7.85384E-12
-1.12630E+0	-51.2808E-12	-15.9917E-12	8.27954E-12
-1.12356E+0	-39.4279E-12	-15.6728E-12	6.88128E-12
-1.12082E+0	-24.5897E-12	-16.1079E-12	4.81039E-12
-1.11808E+0	-15.7921E-12	-16.4483E-12	3.15450E-12
-1.11535E+0	-19.0748E-12	-16.6987E-12	3.46036E-12
-1.11261E+0	-30.0158E-12	-17.0346E-12	5.14453E-12
-1.10987E+0	-42.1999E-12	-16.4834E-12	7.71443E-12
-1.10714E+0	-43.1272E-12	-16.1632E-12	7.88922E-12
-1.10440E+0	-33.9174E-12	-15.9312E-12	6.85776E-12
-1.10166E+0	-22.1811E-12	-16.5348E-12	4.56966E-12
-1.09892E+0	-13.3642E-12	-15.9476E-12	3.48567E-12
-1.09619E+0	-16.7603E-12	-16.6648E-12	3.13302E-12
-1.09345E+0	-22.8510E-12	-16.9105E-12	3.99670E-12
-1.09071E+0	-32.7520E-12	-16.7526E-12	6.03343E-12
-1.08798E+0	-34.3149E-12	-16.1868E-12	6.83222E-12
-1.08524E+0	-29.0329E-12	-16.1551E-12	5.84374E-12
-1.08250E+0	-20.1712E-12	-16.2377E-12	4.72610E-12
-1.07977E+0	-14.6296E-12	-16.4859E-12	3.85663E-12
-1.07703E+0	-13.3696E-12	-16.6513E-12	3.16698E-12
-1.07429E+0	-17.0708E-12	-16.5736E-12	3.71210E-12
-1.07155E+0	-22.3845E-12	-16.7625E-12	4.51465E-12
-1.06882E+0	-27.0039E-12	-16.7051E-12	5.06561E-12
-1.06608E+0	-25.7166E-12	-16.2042E-12	5.20019E-12
-1.06334E+0	-18.8278E-12	-15.9807E-12	4.32139E-12
-1.06061E+0	-13.5376E-12	-16.3585E-12	3.59447E-12
-1.05787E+0	-9.94339E-12	-16.4947E-12	2.59216E-12
-1.05513E+0	-11.7939E-12	-16.2885E-12	2.90924E-12
-1.05239E+0	-15.6458E-12	-16.6882E-12	3.22444E-12
-1.04966E+0	-20.7642E-12	-16.3343E-12	3.95157E-12
-1.04692E+0	-21.6900E-12	-16.5473E-12	3.24874E-12
-1.04418E+0	-17.5308E-12	-16.4236E-12	3.35795E-12
-1.04145E+0	-12.0522E-12	-16.3205E-12	2.32415E-12
-1.03871E+0	-8.75473E-12	-16.3990E-12	2.07841E-12
-1.03597E+0	-8.68359E-12	-16.6586E-12	1.94055E-12
-1.03324E+0	-11.2894E-12	-16.5827E-12	2.15032E-12
-1.03050E+0	-16.2121E-12	-16.5961E-12	2.30154E-12
-1.02776E+0	-18.6115E-12	-16.7764E-12	2.03310E-12
-1.02502E+0	-18.2339E-12	-16.5964E-12	2.15506E-12
-1.02229E+0	-11.6594E-12	-16.3558E-12	2.30625E-12
-1.01955E+0	-8.52699E-12	-16.2874E-12	1.76648E-12
-1.01681E+0	-6.70910E-12	-16.6137E-12	1.59358E-12
-1.01408E+0	-8.89721E-12	-16.5563E-12	1.47765E-12
-1.01134E+0	-12.0209E-12	-16.5786E-12	1.66666E-12
-1.00860E+0	-16.0498E-12	-16.4732E-12	1.78263E-12
-1.00587E+0	-17.4702E-12	-16.3134E-12	1.81764E-12
-1.00313E+0	-12.1092E-12	-16.4748E-12	1.39301E-12
-1.00039E+0	-8.71563E-12	-16.5157E-12	1.26990E-12
-997.654E-3	-5.22270E-12	-16.5335E-12	1.34583E-12
-994.917E-3	-7.30667E-12	-16.5489E-12	1.09519E-12
-992.180E-3	-10.6329E-12	-16.8159E-12	1.10880E-12
-989.443E-3	-16.7789E-12	-16.9638E-12	1.33096E-12
