Experiment	bias spectroscopy	
Date	21.11.2022 12:31:28	
User		
X (m)	521.149E-9	
Y (m)	-513.365E-9	
Z (m)	-106.678E-9	
Z offset (m)	0E+0	
Settling time (s)	4E-3	
Integration time (s)	8E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	-106.684E-9	
Filter type	None	
Order		
Cutoff frq		
Comment01	SiC	

[DATA]
Bias calc (V)	Current (A)	LIX 1 omega (A)	LIY 1 omega (A)
-357.185E-3	60.0814E-15	-16.6116E-12	767.860E-15
-354.448E-3	163.651E-15	-16.5461E-12	537.334E-15
-351.711E-3	52.6428E-15	-16.5333E-12	638.236E-15
-348.974E-3	-31.0897E-15	-16.5734E-12	674.644E-15
-346.236E-3	150.681E-15	-16.5600E-12	660.044E-15
-343.499E-3	279.617E-15	-16.5122E-12	784.047E-15
-340.762E-3	-40.6265E-15	-16.5983E-12	650.881E-15
-338.025E-3	-52.0706E-15	-16.5731E-12	859.968E-15
-335.288E-3	158.310E-15	-16.5644E-12	690.169E-15
-332.551E-3	31.4713E-15	-16.7187E-12	793.530E-15
-329.814E-3	-105.286E-15	-16.4714E-12	710.882E-15
-327.077E-3	160.599E-15	-16.6014E-12	715.303E-15
-324.340E-3	184.059E-15	-16.5977E-12	725.618E-15
-321.603E-3	21.3623E-15	-16.3919E-12	785.704E-15
-318.866E-3	-10.8719E-15	-16.4653E-12	708.403E-15
-316.129E-3	172.997E-15	-16.3236E-12	573.656E-15
-313.392E-3	157.738E-15	-16.5820E-12	741.612E-15
-310.655E-3	-118.065E-15	-16.6211E-12	642.202E-15
-307.918E-3	-14.1144E-15	-16.4764E-12	600.255E-15
-305.181E-3	220.871E-15	-16.6819E-12	569.994E-15
-302.444E-3	60.8444E-15	-16.5629E-12	709.924E-15
-299.707E-3	-129.128E-15	-16.5592E-12	827.279E-15
-296.970E-3	187.111E-15	-16.6776E-12	660.351E-15
-294.233E-3	193.596E-15	-16.6133E-12	633.746E-15
-291.496E-3	-62.1796E-15	-16.5189E-12	657.638E-15
-288.758E-3	-31.2806E-15	-16.6286E-12	813.570E-15
-286.021E-3	181.770E-15	-16.5018E-12	581.488E-15
-283.284E-3	92.6970E-15	-16.5620E-12	590.956E-15
-280.547E-3	-132.751E-15	-16.5594E-12	794.256E-15
-277.810E-3	39.8635E-15	-16.4101E-12	882.767E-15
-275.073E-3	211.906E-15	-16.7398E-12	611.898E-15
-272.336E-3	28.9917E-15	-16.7773E-12	784.471E-15
-269.599E-3	-79.5365E-15	-16.4706E-12	612.748E-15
-266.862E-3	196.266E-15	-16.7534E-12	687.520E-15
-264.125E-3	114.250E-15	-16.6289E-12	612.685E-15
-261.388E-3	-49.4004E-15	-16.6278E-12	569.288E-15
-258.651E-3	-11.8256E-15	-16.6009E-12	744.151E-15
-255.914E-3	188.064E-15	-16.4061E-12	583.140E-15
-253.177E-3	82.3975E-15	-16.7144E-12	789.232E-15
-250.440E-3	-88.3102E-15	-16.5013E-12	733.217E-15
-247.703E-3	69.4275E-15	-16.5798E-12	745.706E-15
-244.966E-3	184.441E-15	-16.6864E-12	828.932E-15
-242.229E-3	-23.2696E-15	-16.7571E-12	561.771E-15
-239.492E-3	-47.4930E-15	-16.6881E-12	754.373E-15
-236.755E-3	124.550E-15	-16.7796E-12	689.905E-15
-234.018E-3	261.307E-15	-16.5388E-12	693.383E-15
-231.280E-3	-52.8336E-15	-16.5351E-12	493.939E-15
-228.543E-3	25.9400E-15	-16.6281E-12	675.049E-15
-225.806E-3	286.484E-15	-16.5676E-12	581.080E-15
-223.069E-3	6.67566E-15	-16.5860E-12	550.543E-15
-220.332E-3	20.9808E-15	-16.5749E-12	581.377E-15
-217.595E-3	177.383E-15	-16.5485E-12	797.181E-15
-214.858E-3	175.095E-15	-16.5008E-12	514.980E-15
-212.121E-3	-11.6348E-15	-16.4886E-12	690.933E-15
-209.384E-3	-8.96453E-15	-16.5349E-12	618.456E-15
-206.647E-3	312.042E-15	-16.6071E-12	905.288E-15
-203.910E-3	78.3920E-15	-16.6643E-12	469.060E-15
-201.173E-3	3.43322E-15	-16.5520E-12	717.802E-15
-198.436E-3	12.2071E-15	-16.4956E-12	685.737E-15
-195.699E-3	242.805E-15	-16.4394E-12	830.048E-15
-192.962E-3	86.9751E-15	-16.4579E-12	729.772E-15
-190.225E-3	-120.735E-15	-16.4812E-12	561.126E-15
-187.488E-3	124.168E-15	-16.5765E-12	707.460E-15
-184.751E-3	171.661E-15	-16.6980E-12	571.574E-15
-182.014E-3	-48.4467E-15	-16.6174E-12	619.266E-15
-179.277E-3	-33.9508E-15	-16.7886E-12	516.218E-15
-176.540E-3	146.484E-15	-16.7136E-12	806.921E-15
-173.802E-3	71.9070E-15	-16.6203E-12	629.847E-15
-171.065E-3	-147.820E-15	-16.4815E-12	622.243E-15
-168.328E-3	33.7600E-15	-16.7064E-12	600.664E-15
-165.591E-3	233.078E-15	-16.6073E-12	701.602E-15
-162.854E-3	21.9345E-15	-16.5105E-12	733.608E-15
-160.117E-3	-146.675E-15	-16.8687E-12	654.784E-15
-157.380E-3	214.577E-15	-16.5596E-12	651.358E-15
-154.643E-3	141.335E-15	-16.5352E-12	625.957E-15
-151.906E-3	-122.070E-15	-16.7814E-12	672.220E-15
-149.169E-3	-25.3677E-15	-16.6608E-12	673.672E-15
-146.432E-3	202.560E-15	-16.7805E-12	708.652E-15
-143.695E-3	63.5147E-15	-16.5527E-12	653.805E-15
-140.958E-3	-94.9860E-15	-16.8101E-12	802.073E-15
-138.221E-3	88.1195E-15	-16.4864E-12	804.109E-15
-135.484E-3	152.588E-15	-16.7441E-12	650.867E-15
-132.747E-3	9.15534E-15	-16.6051E-12	697.815E-15
-130.010E-3	-4.57760E-15	-16.5933E-12	807.229E-15
-127.273E-3	152.397E-15	-16.5057E-12	688.311E-15
-124.536E-3	149.345E-15	-16.4733E-12	548.456E-15
-121.799E-3	-37.5748E-15	-16.5634E-12	789.316E-15
-119.062E-3	74.3866E-15	-16.4047E-12	687.775E-15
-116.324E-3	202.179E-15	-16.7571E-12	629.268E-15
-113.587E-3	-2.67030E-15	-16.6726E-12	652.523E-15
-110.850E-3	-41.3895E-15	-16.5041E-12	667.312E-15
-108.113E-3	96.1304E-15	-16.6596E-12	748.392E-15
-105.376E-3	300.407E-15	-16.4499E-12	773.970E-15
-102.639E-3	762.977E-18	-16.5121E-12	700.637E-15
-99.9022E-3	-53.0243E-15	-16.5267E-12	707.765E-15
-97.1651E-3	232.124E-15	-16.5258E-12	613.408E-15
-94.4281E-3	36.6210E-15	-16.5859E-12	757.812E-15
-91.6910E-3	-32.0435E-15	-16.5546E-12	738.908E-15
-88.9540E-3	100.517E-15	-16.5877E-12	723.935E-15
-86.2169E-3	245.476E-15	-16.5236E-12	476.315E-15
-83.4799E-3	-27.8473E-15	-16.5506E-12	627.876E-15
-80.7429E-3	-69.4275E-15	-16.5509E-12	676.141E-15
-78.0058E-3	127.029E-15	-16.5467E-12	745.998E-15
-75.2688E-3	197.220E-15	-16.6580E-12	743.907E-15
-72.5317E-3	-80.8716E-15	-16.5143E-12	882.085E-15
-69.7947E-3	-16.7847E-15	-16.4891E-12	637.477E-15
-67.0576E-3	234.985E-15	-16.6954E-12	728.842E-15
-64.3206E-3	33.1879E-15	-16.4326E-12	736.493E-15
-61.5835E-3	-131.798E-15	-16.6295E-12	673.502E-15
-58.8465E-3	45.3949E-15	-16.5862E-12	822.418E-15
-56.1094E-3	239.563E-15	-16.6047E-12	517.906E-15
-53.3724E-3	-11.4441E-15	-16.6804E-12	764.345E-15
-50.6353E-3	-62.7518E-15	-16.6965E-12	937.815E-15
-47.8983E-3	167.084E-15	-16.7278E-12	658.606E-15
-45.1612E-3	99.3728E-15	-16.3852E-12	806.814E-15
-42.4242E-3	-102.234E-15	-16.4202E-12	801.888E-15
-39.6871E-3	74.5773E-15	-16.5356E-12	702.383E-15
-36.9501E-3	306.320E-15	-16.4581E-12	800.400E-15
-34.2130E-3	12.5885E-15	-16.5246E-12	699.046E-15
-31.4760E-3	-79.5365E-15	-16.5694E-12	549.483E-15
-28.7389E-3	183.487E-15	-16.6663E-12	613.256E-15
-26.0019E-3	245.667E-15	-16.4616E-12	854.491E-15
-23.2648E-3	-97.8470E-15	-16.4554E-12	718.613E-15
-20.5278E-3	14.4958E-15	-16.7613E-12	525.114E-15
-17.7908E-3	237.846E-15	-16.6625E-12	655.131E-15
-15.0537E-3	107.384E-15	-16.5025E-12	490.437E-15
-12.3167E-3	-58.1741E-15	-16.7294E-12	503.540E-15
-9.57961E-3	196.266E-15	-16.6287E-12	589.036E-15
-6.84256E-3	234.985E-15	-16.6026E-12	723.525E-15
-4.10551E-3	31.6620E-15	-16.6284E-12	424.139E-15
-1.36846E-3	-10.6812E-15	-16.6711E-12	312.254E-15
1.36858E-3	92.5064E-15	-16.6801E-12	427.345E-15
4.10563E-3	229.454E-15	-16.5577E-12	647.149E-15
6.84268E-3	-127.029E-15	-16.6277E-12	344.074E-15
9.57973E-3	4.76838E-15	-16.6311E-12	535.102E-15
12.3168E-3	206.375E-15	-16.4994E-12	572.879E-15
15.0538E-3	141.335E-15	-16.5306E-12	567.823E-15
17.7909E-3	-97.0841E-15	-16.4249E-12	682.054E-15
20.5279E-3	63.8962E-15	-16.6028E-12	642.547E-15
23.2650E-3	213.623E-15	-16.6839E-12	519.950E-15
26.0020E-3	1.90733E-15	-16.6133E-12	560.585E-15
28.7391E-3	-79.7272E-15	-16.6726E-12	772.551E-15
31.4761E-3	127.792E-15	-16.6863E-12	784.357E-15
34.2132E-3	173.378E-15	-16.5169E-12	745.297E-15
36.9502E-3	-124.741E-15	-16.5869E-12	638.312E-15
39.6873E-3	67.7109E-15	-16.5499E-12	864.208E-15
42.4243E-3	179.672E-15	-16.4061E-12	698.670E-15
45.1614E-3	75.5311E-15	-16.5084E-12	587.979E-15
47.8984E-3	-105.667E-15	-16.5201E-12	755.098E-15
50.6354E-3	120.163E-15	-16.6899E-12	823.142E-15
53.3725E-3	209.045E-15	-16.5327E-12	876.685E-15
56.1095E-3	-55.3131E-15	-16.5083E-12	576.739E-15
58.8466E-3	-3.81462E-15	-16.6367E-12	581.170E-15
61.5836E-3	160.027E-15	-16.4756E-12	664.272E-15
64.3207E-3	206.757E-15	-16.3771E-12	801.460E-15
67.0577E-3	-100.136E-15	-16.6135E-12	572.790E-15
69.7948E-3	-6.10352E-15	-16.7628E-12	712.838E-15
72.5318E-3	236.321E-15	-16.4504E-12	665.488E-15
75.2689E-3	64.2777E-15	-16.6752E-12	578.776E-15
78.0059E-3	-73.0515E-15	-16.5153E-12	559.954E-15
80.7430E-3	168.991E-15	-16.6259E-12	588.760E-15
83.4800E-3	119.591E-15	-16.6775E-12	629.139E-15
86.2171E-3	-127.983E-15	-16.5001E-12	640.202E-15
88.9541E-3	-51.8799E-15	-16.5184E-12	768.166E-15
91.6912E-3	237.846E-15	-16.6809E-12	739.245E-15
94.4282E-3	117.683E-15	-16.6171E-12	568.267E-15
97.1653E-3	-56.0760E-15	-16.4225E-12	742.483E-15
99.9023E-3	114.059E-15	-16.6552E-12	670.878E-15
102.639E-3	163.841E-15	-16.5454E-12	601.387E-15
105.376E-3	9.72744E-15	-16.6176E-12	725.890E-15
108.113E-3	-30.8990E-15	-16.5999E-12	758.040E-15
110.851E-3	198.936E-15	-16.6510E-12	720.086E-15
113.588E-3	69.6182E-15	-16.6747E-12	780.467E-15
116.325E-3	-41.9616E-15	-16.5558E-12	626.261E-15
119.062E-3	105.858E-15	-16.7476E-12	740.787E-15
121.799E-3	266.647E-15	-16.5944E-12	663.928E-15
124.536E-3	113.106E-15	-16.6386E-12	606.204E-15
127.273E-3	-104.713E-15	-16.5972E-12	631.788E-15
130.010E-3	71.5256E-15	-16.5417E-12	744.432E-15
132.747E-3	94.6045E-15	-16.4897E-12	927.043E-15
135.484E-3	-2.86105E-15	-16.5935E-12	496.021E-15
138.221E-3	-54.9316E-15	-16.7075E-12	746.256E-15
140.958E-3	195.122E-15	-16.5088E-12	625.563E-15
143.695E-3	202.179E-15	-16.5103E-12	554.200E-15
146.432E-3	-26.1307E-15	-16.7125E-12	612.739E-15
149.169E-3	81.0623E-15	-16.6149E-12	831.606E-15
151.906E-3	178.719E-15	-16.4618E-12	801.614E-15
154.643E-3	71.7163E-15	-16.5612E-12	480.579E-15
157.380E-3	-109.291E-15	-16.7767E-12	923.301E-15
160.117E-3	192.642E-15	-16.5750E-12	700.231E-15
162.854E-3	137.329E-15	-16.6585E-12	589.580E-15
165.591E-3	-15.0680E-15	-16.4888E-12	722.268E-15
168.329E-3	14.6866E-15	-16.6705E-12	722.559E-15
171.066E-3	242.615E-15	-16.4744E-12	554.174E-15
173.803E-3	73.6236E-15	-16.7509E-12	615.733E-15
176.540E-3	-66.5665E-15	-16.5699E-12	654.195E-15
179.277E-3	139.809E-15	-16.5416E-12	624.056E-15
182.014E-3	142.670E-15	-16.5045E-12	608.688E-15
184.751E-3	-46.9208E-15	-16.6804E-12	749.205E-15
187.488E-3	-37.9563E-15	-16.5993E-12	722.816E-15
190.225E-3	218.201E-15	-16.6305E-12	716.601E-15
192.962E-3	37.1933E-15	-16.5356E-12	758.090E-15
195.699E-3	-1.14442E-15	-16.6810E-12	554.078E-15
198.436E-3	-572.249E-18	-16.7192E-12	728.050E-15
201.173E-3	289.345E-15	-16.7290E-12	798.422E-15
203.910E-3	85.6400E-15	-16.5872E-12	694.543E-15
206.647E-3	-81.8252E-15	-16.4774E-12	664.540E-15
209.384E-3	146.484E-15	-16.6176E-12	758.643E-15
212.121E-3	193.596E-15	-16.6585E-12	535.614E-15
214.858E-3	-70.3811E-15	-16.6924E-12	728.783E-15
217.595E-3	32.0435E-15	-16.6038E-12	490.172E-15
220.332E-3	161.934E-15	-16.4036E-12	743.236E-15
223.069E-3	84.1141E-15	-16.6053E-12	534.133E-15
225.807E-3	-44.4413E-15	-16.4767E-12	758.288E-15
228.544E-3	17.1662E-15	-16.7125E-12	689.561E-15
231.281E-3	211.716E-15	-16.4628E-12	629.667E-15
234.018E-3	15.8310E-15	-16.4650E-12	793.351E-15
236.755E-3	-29.9454E-15	-16.8011E-12	650.137E-15
239.492E-3	150.299E-15	-16.4524E-12	657.410E-15
242.229E-3	215.721E-15	-16.7800E-12	653.089E-15
244.966E-3	-121.498E-15	-16.6560E-12	764.156E-15
247.703E-3	-2.47953E-15	-16.5368E-12	506.823E-15
250.440E-3	251.198E-15	-16.7628E-12	749.910E-15
253.177E-3	16.0217E-15	-16.5980E-12	790.391E-15
255.914E-3	-111.008E-15	-16.5337E-12	725.914E-15
258.651E-3	107.193E-15	-16.5654E-12	600.295E-15
261.388E-3	259.209E-15	-16.6044E-12	773.194E-15
264.125E-3	18.6920E-15	-16.6219E-12	514.348E-15
266.862E-3	17.3569E-15	-16.5803E-12	705.206E-15
269.599E-3	269.508E-15	-16.5574E-12	696.816E-15
272.336E-3	238.419E-15	-16.5962E-12	896.381E-15
275.073E-3	-33.5693E-15	-16.5099E-12	816.245E-15
277.810E-3	76.1032E-15	-16.5264E-12	813.219E-15
280.547E-3	336.456E-15	-16.5784E-12	537.694E-15
283.285E-3	21.5530E-15	-16.5180E-12	669.632E-15
286.022E-3	-89.8361E-15	-16.4329E-12	817.722E-15
288.759E-3	51.6891E-15	-16.5984E-12	666.793E-15
291.496E-3	288.963E-15	-16.4915E-12	744.279E-15
294.233E-3	-46.9208E-15	-16.6155E-12	599.573E-15
296.970E-3	35.2860E-15	-16.3684E-12	680.254E-15
299.707E-3	190.353E-15	-16.5631E-12	834.021E-15
302.444E-3	158.501E-15	-16.5519E-12	605.915E-15
305.181E-3	-28.9917E-15	-16.6449E-12	513.031E-15
307.918E-3	57.9834E-15	-16.4955E-12	610.684E-15
310.655E-3	264.549E-15	-16.5434E-12	598.363E-15
313.392E-3	20.9809E-15	-16.5495E-12	750.542E-15
316.129E-3	-84.4955E-15	-16.4628E-12	675.332E-15
318.866E-3	140.190E-15	-16.5283E-12	885.490E-15
321.603E-3	179.672E-15	-16.7284E-12	602.924E-15
324.340E-3	-66.3757E-15	-16.4805E-12	514.073E-15
327.077E-3	31.6619E-15	-16.6756E-12	536.203E-15
329.814E-3	208.282E-15	-16.5353E-12	562.051E-15
332.551E-3	86.2121E-15	-16.6860E-12	744.034E-15
335.288E-3	-105.667E-15	-16.5447E-12	829.609E-15
338.025E-3	85.4492E-15	-16.5921E-12	844.075E-15
340.763E-3	252.342E-15	-16.5015E-12	683.392E-15
343.500E-3	-38.5284E-15	-16.7479E-12	667.571E-15
346.237E-3	-43.6783E-15	-16.4936E-12	878.004E-15
348.974E-3	255.775E-15	-16.6256E-12	699.839E-15
351.711E-3	248.909E-15	-16.5324E-12	784.468E-15
354.448E-3	-163.078E-15	-16.7018E-12	552.434E-15
357.185E-3	60.0815E-15	-16.4492E-12	788.627E-15
359.922E-3	254.440E-15	-16.6815E-12	715.673E-15
362.659E-3	149.727E-15	-16.3806E-12	675.124E-15
365.396E-3	-94.4138E-15	-16.6707E-12	683.717E-15
368.133E-3	155.830E-15	-16.4870E-12	555.244E-15
370.870E-3	231.743E-15	-16.6927E-12	710.815E-15
373.607E-3	-41.9617E-15	-16.4916E-12	598.100E-15
376.344E-3	-14.4959E-15	-16.6135E-12	922.388E-15
379.081E-3	181.198E-15	-16.7313E-12	623.986E-15
381.818E-3	164.604E-15	-16.4691E-12	636.649E-15
384.555E-3	-41.0080E-15	-16.6145E-12	672.545E-15
387.292E-3	41.7710E-15	-16.4831E-12	705.318E-15
390.029E-3	278.282E-15	-16.4225E-12	570.483E-15
392.766E-3	4.57761E-15	-16.6441E-12	592.831E-15
395.503E-3	-89.0732E-15	-16.6192E-12	679.669E-15
398.241E-3	175.285E-15	-16.5649E-12	749.751E-15
400.978E-3	202.942E-15	-16.4590E-12	708.945E-15
403.715E-3	-115.967E-15	-16.4724E-12	638.179E-15
406.452E-3	30.7083E-15	-16.6984E-12	576.151E-15
409.189E-3	281.525E-15	-16.6019E-12	663.405E-15
411.926E-3	102.615E-15	-16.8886E-12	679.090E-15
414.663E-3	-167.847E-15	-16.7435E-12	637.831E-15
417.400E-3	112.915E-15	-16.6246E-12	771.643E-15
420.137E-3	207.329E-15	-16.6169E-12	830.259E-15
422.874E-3	57.7926E-15	-16.5457E-12	781.855E-15
425.611E-3	-66.3757E-15	-16.6735E-12	705.162E-15
428.348E-3	194.550E-15	-16.5151E-12	592.348E-15
431.085E-3	144.196E-15	-16.5732E-12	643.070E-15
433.822E-3	-28.4195E-15	-16.5661E-12	695.849E-15
436.559E-3	92.6971E-15	-16.4948E-12	624.293E-15
439.296E-3	135.040E-15	-16.5941E-12	783.645E-15
442.033E-3	65.8035E-15	-16.6214E-12	714.288E-15
444.770E-3	-74.9588E-15	-16.6468E-12	663.632E-15
447.507E-3	112.915E-15	-16.5800E-12	546.141E-15
450.244E-3	122.261E-15	-16.5733E-12	696.585E-15
452.982E-3	15.0680E-15	-16.5467E-12	606.604E-15
455.719E-3	17.7384E-15	-16.6284E-12	703.219E-15
458.456E-3	250.053E-15	-16.6281E-12	675.371E-15
461.193E-3	57.7926E-15	-16.5190E-12	554.092E-15
463.930E-3	-93.2694E-15	-16.5700E-12	603.458E-15
466.667E-3	10.4904E-15	-16.5505E-12	668.747E-15
469.404E-3	269.508E-15	-16.4755E-12	543.151E-15
472.141E-3	156.975E-15	-16.5663E-12	729.916E-15
474.878E-3	-96.1303E-15	-16.5045E-12	656.247E-15
477.615E-3	220.489E-15	-16.5366E-12	581.692E-15
480.352E-3	208.282E-15	-16.6569E-12	782.257E-15
483.089E-3	5.72205E-15	-16.7351E-12	576.510E-15
485.826E-3	-8.96454E-15	-16.7092E-12	839.760E-15
488.563E-3	230.598E-15	-16.3936E-12	778.311E-15
491.300E-3	29.3731E-15	-16.5399E-12	743.428E-15
494.037E-3	-78.3920E-15	-16.5125E-12	566.647E-15
496.774E-3	107.956E-15	-16.8475E-12	616.648E-15
499.511E-3	307.274E-15	-16.6938E-12	713.949E-15
502.248E-3	130.272E-15	-16.4343E-12	581.550E-15
504.985E-3	-138.664E-15	-16.5690E-12	674.785E-15
507.722E-3	280.571E-15	-16.5155E-12	805.060E-15
510.459E-3	213.051E-15	-16.4756E-12	682.454E-15
513.197E-3	18.8828E-15	-16.5487E-12	663.685E-15
515.934E-3	13.5421E-15	-16.5838E-12	660.010E-15
518.671E-3	281.334E-15	-16.6158E-12	687.747E-15
521.408E-3	56.0761E-15	-16.5797E-12	753.387E-15
524.145E-3	-48.2560E-15	-16.4934E-12	671.028E-15
526.882E-3	117.302E-15	-16.5761E-12	519.001E-15
529.619E-3	303.268E-15	-16.5275E-12	705.686E-15
532.356E-3	63.5147E-15	-16.6645E-12	584.410E-15
535.093E-3	64.2777E-15	-16.4307E-12	828.348E-15
537.830E-3	395.203E-15	-16.6171E-12	650.110E-15
540.567E-3	295.830E-15	-16.4359E-12	642.686E-15
543.304E-3	46.1578E-15	-16.5471E-12	662.738E-15
546.041E-3	43.1060E-15	-16.5324E-12	783.343E-15
548.778E-3	275.993E-15	-16.6572E-12	714.069E-15
551.515E-3	134.468E-15	-16.5807E-12	892.889E-15
554.252E-3	173.950E-15	-16.5518E-12	665.961E-15
556.989E-3	440.598E-15	-16.5599E-12	744.387E-15
559.726E-3	407.791E-15	-16.5102E-12	789.918E-15
562.463E-3	125.122E-15	-16.4811E-12	613.896E-15
565.200E-3	56.8390E-15	-16.4778E-12	830.989E-15
567.937E-3	267.029E-15	-16.5674E-12	830.033E-15
570.675E-3	385.284E-15	-16.6092E-12	706.700E-15
573.412E-3	342.178E-15	-16.6586E-12	776.417E-15
576.149E-3	480.461E-15	-16.5910E-12	755.166E-15
578.886E-3	568.962E-15	-16.6833E-12	699.409E-15
581.623E-3	310.516E-15	-16.7076E-12	769.002E-15
584.360E-3	67.5201E-15	-16.7064E-12	915.039E-15
587.097E-3	389.481E-15	-16.5583E-12	762.769E-15
589.834E-3	565.720E-15	-16.4663E-12	624.730E-15
592.571E-3	585.747E-15	-16.7007E-12	865.978E-15
595.308E-3	716.591E-15	-16.5345E-12	1.14251E-12
598.045E-3	797.463E-15	-16.6058E-12	926.354E-15
600.782E-3	424.957E-15	-16.5476E-12	875.712E-15
603.519E-3	167.847E-15	-16.5654E-12	725.090E-15
606.256E-3	351.143E-15	-16.6300E-12	809.213E-15
608.993E-3	747.871E-15	-16.5702E-12	681.397E-15
611.730E-3	1.02711E-12	-16.4359E-12	897.096E-15
614.467E-3	996.017E-15	-16.5804E-12	812.779E-15
617.204E-3	967.789E-15	-16.6421E-12	955.085E-15
619.941E-3	838.661E-15	-16.5953E-12	593.736E-15
622.678E-3	394.440E-15	-16.5140E-12	554.869E-15
625.416E-3	365.257E-15	-16.6255E-12	576.236E-15
628.153E-3	1.19286E-12	-16.5432E-12	713.583E-15
630.890E-3	1.25122E-12	-16.4775E-12	801.416E-15
633.627E-3	1.31226E-12	-16.6876E-12	872.595E-15
636.364E-3	1.18713E-12	-16.3265E-12	847.972E-15
639.101E-3	874.519E-15	-16.4701E-12	924.922E-15
641.838E-3	459.862E-15	-16.5947E-12	923.990E-15
644.575E-3	427.246E-15	-16.4954E-12	542.474E-15
647.312E-3	1.14174E-12	-16.6096E-12	942.964E-15
650.049E-3	1.63956E-12	-16.3677E-12	1.19003E-12
652.786E-3	1.65501E-12	-16.5908E-12	1.25331E-12
655.523E-3	1.46694E-12	-16.4349E-12	948.868E-15
658.260E-3	1.16978E-12	-16.4646E-12	919.187E-15
660.997E-3	693.131E-15	-16.6135E-12	770.958E-15
663.734E-3	620.651E-15	-16.5339E-12	768.135E-15
666.471E-3	1.32790E-12	-16.6027E-12	893.535E-15
669.208E-3	1.93996E-12	-16.6204E-12	998.839E-15
671.945E-3	2.47231E-12	-16.5470E-12	1.06085E-12
674.682E-3	1.63841E-12	-16.4734E-12	857.261E-15
677.419E-3	1.47800E-12	-16.6690E-12	891.933E-15
680.156E-3	901.794E-15	-16.6114E-12	860.228E-15
682.894E-3	761.986E-15	-16.3317E-12	926.306E-15
685.631E-3	1.32618E-12	-16.6428E-12	907.325E-15
688.368E-3	2.19707E-12	-16.5054E-12	970.486E-15
691.105E-3	2.46029E-12	-16.6056E-12	1.16041E-12
693.842E-3	2.11964E-12	-16.5573E-12	999.699E-15
696.579E-3	1.80073E-12	-16.6005E-12	812.053E-15
699.316E-3	1.28460E-12	-16.5758E-12	1.01568E-12
702.053E-3	1.09081E-12	-16.5929E-12	963.716E-15
704.790E-3	1.33991E-12	-16.6751E-12	966.486E-15
707.527E-3	2.29149E-12	-16.5413E-12	906.441E-15
710.264E-3	2.73094E-12	-16.6058E-12	1.03284E-12
713.001E-3	2.82478E-12	-16.4740E-12	1.07312E-12
715.738E-3	2.28748E-12	-16.6383E-12	922.150E-15
718.475E-3	1.77269E-12	-16.5908E-12	914.492E-15
721.212E-3	1.56937E-12	-16.5513E-12	866.807E-15
723.949E-3	1.33553E-12	-16.6331E-12	864.758E-15
726.686E-3	2.25639E-12	-16.5529E-12	841.996E-15
729.423E-3	2.78625E-12	-16.6543E-12	1.11119E-12
732.160E-3	3.67241E-12	-16.5559E-12	1.06212E-12
734.897E-3	3.21655E-12	-16.6640E-12	1.03130E-12
737.634E-3	3.00846E-12	-16.4907E-12	871.472E-15
740.372E-3	1.79100E-12	-16.5483E-12	1.01939E-12
743.109E-3	1.94969E-12	-16.6161E-12	948.991E-15
745.846E-3	2.17285E-12	-16.3892E-12	850.504E-15
748.583E-3	2.90203E-12	-16.5612E-12	899.151E-15
751.320E-3	3.44582E-12	-16.6964E-12	996.131E-15
754.057E-3	3.45173E-12	-16.5782E-12	1.00814E-12
756.794E-3	2.87018E-12	-16.4911E-12	823.753E-15
759.531E-3	1.78413E-12	-16.6313E-12	853.984E-15
762.268E-3	1.21899E-12	-16.3494E-12	721.658E-15
765.005E-3	1.79043E-12	-16.5592E-12	954.807E-15
767.742E-3	2.83890E-12	-16.5138E-12	848.393E-15
770.479E-3	3.35007E-12	-16.7720E-12	888.871E-15
773.216E-3	3.26958E-12	-16.5483E-12	1.01608E-12
775.953E-3	2.24819E-12	-16.6712E-12	741.025E-15
778.690E-3	1.65215E-12	-16.5652E-12	790.461E-15
781.427E-3	1.19991E-12	-16.4653E-12	846.157E-15
784.164E-3	1.80511E-12	-16.6170E-12	757.937E-15
786.901E-3	3.19443E-12	-16.3905E-12	905.538E-15
789.638E-3	4.01230E-12	-16.5481E-12	1.00554E-12
792.375E-3	3.87230E-12	-16.5651E-12	967.897E-15
795.112E-3	2.53220E-12	-16.6095E-12	763.504E-15
797.850E-3	1.84746E-12	-16.4841E-12	823.680E-15
800.587E-3	1.35021E-12	-16.6730E-12	818.854E-15
803.324E-3	1.89877E-12	-16.6063E-12	971.830E-15
806.061E-3	3.36056E-12	-16.4278E-12	934.012E-15
808.798E-3	4.69036E-12	-16.3519E-12	1.13788E-12
811.535E-3	4.89731E-12	-16.6949E-12	1.23892E-12
814.272E-3	3.63369E-12	-16.7960E-12	956.969E-15
817.009E-3	2.40669E-12	-16.6293E-12	829.509E-15
819.746E-3	1.71356E-12	-16.5170E-12	719.619E-15
822.483E-3	1.85585E-12	-16.4516E-12	700.046E-15
825.220E-3	3.39317E-12	-16.6444E-12	1.02061E-12
827.957E-3	5.46570E-12	-16.5508E-12	1.19722E-12
830.694E-3	5.00755E-12	-16.4820E-12	1.05424E-12
833.431E-3	3.97091E-12	-16.4929E-12	1.13348E-12
836.168E-3	2.46677E-12	-16.4746E-12	830.956E-15
838.905E-3	1.67942E-12	-16.6665E-12	1.09865E-12
841.642E-3	1.58596E-12	-16.5957E-12	873.990E-15
